"(PDH-CSV 4.0) (America/Sao_Paulo)(180)","\\desktop-qlgnca5\informações do processador(_total)\% de utilitário do processador",
"2023-9-13 13:45:37.152","17.695005416870117",
"2023-9-13 13:45:38.168","19.94773292541504",
"2023-9-13 13:45:40.152","15.78853702545166",
"2023-9-13 13:45:41.168","27.048721313476562",
"2023-9-13 13:45:43.137","37.68833923339844",
"2023-9-13 13:45:51.139","26.256799697875977",
"2023-9-13 13:45:51.985","33.152896881103516",
"2023-9-13 13:45:52.988","31.383869171142578",
"2023-9-13 13:45:54.000","32.16447830200195",
"2023-9-13 13:45:55.215","27.717649459838867",
"2023-9-13 13:45:57.137","37.050453186035156",
"2023-9-13 13:45:58.137","18.544790267944336",
"2023-9-13 13:45:59.608","69.98197937011719",
"2023-9-13 13:46:0.575","81.36248016357422",
"2023-9-13 13:46:1.615","87.298095703125",
"2023-9-13 13:46:3.184","60.01023483276367",
"2023-9-13 13:46:5.246","74.9755630493164",
"2023-9-13 13:46:7.137","65.86188507080078",
"2023-9-13 13:46:8.152","70.51969909667969",
"2023-9-13 13:46:10.325","70.7154769897461",
"2023-9-13 13:46:11.340","82.3835678100586",
"2023-9-13 13:46:13.185","63.6349983215332",
"2023-9-13 13:46:14.154","70.03888702392578",
"2023-9-13 13:46:15.200","67.42985534667969",
"2023-9-13 13:46:17.184","55.56742477416992",
"2023-9-13 13:46:19.168","54.361019134521484",
"2023-9-13 13:46:21.137","31.565105438232422",
"2023-9-13 13:46:22.137","4.296070098876953",
"2023-9-13 13:46:23.137","36.01875305175781",
"2023-9-13 13:47:4.345","20.112781524658203",
"2023-9-13 13:47:4.414","100.00050354003906",
"2023-9-13 13:47:5.418","86.3935775756836",
"2023-9-13 13:47:6.445","75.04120635986328",
"2023-9-13 13:47:7.428","72.42542266845703",
"2023-9-13 13:47:8.464","72.69170379638672",
"2023-9-13 13:47:9.446","76.49951171875",
"2023-9-13 13:47:10.501","86.66390991210938",
"2023-9-13 13:47:11.459","78.35633850097656",
"2023-9-13 13:47:12.457","71.16995239257812",
"2023-9-13 13:47:13.460","72.53317260742188",
"2023-9-13 13:47:14.462","71.08610534667969",
"2023-9-13 13:47:15.476","71.76632690429688",
"2023-9-13 13:47:16.480","71.56804656982422",
"2023-9-13 13:47:17.483","69.41926574707031",
"2023-9-13 13:47:18.483","68.88653564453125",
"2023-9-13 13:47:19.493","69.42666625976562",
"2023-9-13 13:47:20.494","73.4392318725586",
"2023-9-13 13:47:21.486","68.86881256103516",
"2023-9-13 13:47:22.502","70.41138458251953",
"2023-9-13 13:47:23.499","69.79557037353516",
"2023-9-13 13:47:24.511","68.44378662109375",
"2023-9-13 13:47:25.538","88.9529800415039",
"2023-9-13 13:47:26.537","71.6399154663086",
"2023-9-13 13:47:27.543","75.49887084960938",
"2023-9-13 13:47:28.572","57.64840316772461",
"2023-9-13 13:47:29.532","35.74600601196289",
"2023-9-13 13:47:30.539","33.4541130065918",
"2023-9-13 13:47:31.549","31.490304946899414",
"2023-9-13 13:47:32.561","56.46529006958008",
"2023-9-13 13:47:33.574","55.889617919921875",
"2023-9-13 13:47:34.576","73.09226989746094",
"2023-9-13 13:47:35.571","53.39457321166992",
"2023-9-13 13:47:36.570","32.32758331298828",
"2023-9-13 13:47:37.569","33.40839385986328",
"2023-9-13 13:47:38.575","31.691024780273438",
"2023-9-13 13:47:39.577","38.95919418334961",
"2023-9-13 13:47:40.620","54.057071685791016",
"2023-9-13 13:47:41.593","53.123207092285156",
"2023-9-13 13:47:43.184","31.34686279296875",
"2023-9-13 13:47:45.153","26.56219482421875",
"2023-9-13 13:47:47.168","22.83995819091797",
"2023-9-13 13:47:49.153","12.73031997680664",
"2023-9-13 13:47:50.137","16.339967727661133",
"2023-9-13 13:47:51.152","31.074647903442383",
"2023-9-13 13:47:52.175","58.589752197265625",
"2023-9-13 13:47:53.236","39.533180236816406",
"2023-9-13 13:47:54.185","36.290523529052734",
"2023-9-13 13:47:56.230","26.698699951171875",
"2023-9-13 13:47:58.637","45.46431350708008",
"2023-9-13 13:47:59.648","60.80473327636719",
"2023-9-13 13:48:0.652","69.94084930419922",
"2023-9-13 13:48:1.653","72.08582305908203",
"2023-9-13 13:48:2.668","73.48652648925781",
"2023-9-13 13:48:3.662","76.40076446533203",
"2023-9-13 13:48:4.668","74.97607421875",
"2023-9-13 13:48:5.679","96.38868713378906",
"2023-9-13 13:48:6.681","73.15009307861328",
"2023-9-13 13:48:7.679","73.52887725830078",
"2023-9-13 13:48:8.690","85.56290435791016",
"2023-9-13 13:48:9.869","78.44623565673828",
