"(PDH-CSV 4.0) (America/Sao_Paulo)(180)","\\desktop-qlgnca5\memória\% bytes confirmados em uso",
"2023-9-13 1:33:17.292","32.005245208740234",
"2023-9-13 1:33:19.166","32.017948150634766",
"2023-9-13 1:33:20.182","32.08315658569336",
"2023-9-13 1:33:21.213","32.056678771972656",
"2023-9-13 1:33:23.198","32.029457092285156",
"2023-9-13 1:33:25.166","32.00107955932617",
"2023-9-13 1:33:26.198","32.06344223022461",
"2023-9-13 1:33:28.166","32.049461364746094",
"2023-9-13 1:33:29.227","32.27547836303711",
"2023-9-13 1:33:31.172","32.127742767333984",
"2023-9-13 1:33:32.188","32.56105041503906",
"2023-9-13 1:33:33.191","32.531314849853516",
